State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,95308,45.98,Won
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,485313,39.43,Won
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,586226,47.33,Won
Andhra Pradesh,Anantapur,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,695208,51.79,Won
Andhra Pradesh,Aruku,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,562190,52.32,Won
Andhra Pradesh,Bapatla,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,598257,47.24,Won
Andhra Pradesh,Chittoor,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,686792,52.05,Won
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,676809,50.97,Won
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,706602,52.79,Won
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,783799,63.8,Won
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,602554,50.98,Won
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,571436,46.02,Won
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,720888,55.49,Won
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,745089,51.83,Won
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,447594,38.11,Won
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,683830,53.13,Won
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,739202,55.07,Won
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,582024,46.55,Won
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,702211,57.35,Won
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,534544,46.19,Won
Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,722877,55.03,Won
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),Telugu Desam,575498,45.04,Won
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,436906,35.24,Won
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,578418,47.49,Won
Andhra Pradesh,Guntur,Jayadev Galla,Telugu Desam,587918,43.5,Won
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,537630,43.54,Won
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,Bharatiya Janata Party,153883,52.38,Won
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,Bharatiya Janata Party,225796,63.02,Won
Assam,Autonomous District,HOREN SING BEY,Bharatiya Janata Party,381316,61.73,Won
Assam,Barpeta,Abdul Khaleque,Indian National Congress,645173,44.23,Won
Assam,Dhubri,BADRUDDIN AJMAL,All India United Democratic Front,718764,42.66,Won
Assam,Dibrugarh,RAMESWAR TELI,Bharatiya Janata Party,659583,64.94,Won
Assam,Gauhati,QUEEN OJA,Bharatiya Janata Party,1008936,57.2,Won
Assam,Jorhat,TOPON KUMAR GOGOI,Bharatiya Janata Party,543288,51.35,Won
Assam,Kaliabor,Gaurav Gogoi,Indian National Congress,786092,55.18,Won
Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,473046,44.62,Won
Assam,Kokrajhar,Naba Kumar Sarania,Independent,484560,32.75,Won
Assam,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,776406,60.49,Won
Assam,Mangaldoi,DILIP SAIKIA,Bharatiya Janata Party,735469,48.83,Won
Assam,Nowgong,Pradyut Bordoloi,Indian National Congress,739724,49.53,Won
Assam,Silchar,RAJDEEP ROY,Bharatiya Janata Party,499414,52.59,Won
Assam,Tezpur,PALLAB LOCHAN DAS,Bharatiya Janata Party,684166,57.48,Won
Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,618434,52.87,Won
Bihar,Arrah,R. K. Singh,Bharatiya Janata Party,566480,52.42,Won
Bihar,Aurangabad,SUSHIL KUMAR SINGH,Bharatiya Janata Party,431541,45.83,Won
Bihar,Banka,GIRIDHARI YADAV,Janata Dal (United),477788,47.98,Won
