Text,Date,No_of_likes,No_of_comments,Year,Clean_Text,Sentiment,Confidence
"South India 2024 Loksabha Opinion Poll 132 seats (C-Voter) INDIA 78 BJP 22 OTH 32 INDIA is polling 40% votes in this survey while BJP is at 19%. They are overestimating the BJP as it can only win seats in either Karnataka or maybe in Telangana. Others include YSR, TDP, AIADMK & BRS with 41% votes.",2023-12-25 12:05:00,324,27,2024,"South India 2024 Loksabha Opinion Poll 132 seats (C-Voter) INDIA 78 BJP 22 OTH 32 INDIA is polling 40% votes in this survey while BJP is at 19%. They are overestimating the BJP as it can only win seats in either Karnataka or maybe in Telangana. Others include YSR, TDP, AIADMK & BRS with 41% votes.",neutral,0.7234167456626892
"Veteran actor Nana Patekar says, ""There is no alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work."" @nanagpatekar #NanaPatekar #BJPGovernment #2024Elections",2023-12-25 13:00:00,0,0,2024,"Veteran actor Nana Patekar says, ""There is no alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work."" NanaPatekar BJPGovernment 2024Elections",positive,0.8434032797813416
"South India BJP 2019 Loksabha Karnataka 25 Telangana 04 Andhra Pradesh 00 Tamil Nadu 00 Kerala 00 They have won 29 seats out of 130 seats, only Congress can drag them below 15 as the rest of the states are irrelevant for BJP apart from KA & TG. Anything above 20 will be an achievement for BJP and they won't complain about that.",2023-12-25 12:21:00,142,18,2024,"South India BJP 2019 Loksabha Karnataka 25 Telangana 04 Andhra Pradesh 00 Tamil Nadu 00 Kerala 00 They have won 29 seats out of 130 seats, only Congress can drag them below 15 as the rest of the states are irrelevant for BJP apart from KA & TG. Anything above 20 will be an achievement for BJP and they won't complain about that.",neutral,0.6290333867073059
Issh baar 357 seats in Loksabha election.,2023-12-25 13:00:00,0,0,2024,Issh baar 357 seats in Loksabha election.,neutral,0.8397156596183777
"Total number of times MMS won his own lok sabha seat - ZERO Hence He was just a ramu kaka of Gandys Modi has not lost an election, has won two general elections with highest number of MPs in last 40 years and has highest approval ratings amongst all the world leaders Hence he is the strongest PM",2023-12-25 08:19:00,589,80,2024,"Total number of times MMS won his own lok sabha seat - ZERO Hence He was just a ramu kaka of Gandys Modi has not lost an election, has won two general elections with highest number of MPs in last 40 years and has highest approval ratings amongst all the world leaders Hence he is the strongest PM",positive,0.49992769956588745
Let’s deliver Tenkasi Lok Sabha seat to strengthen the hands of Honourable @PMOIndia Shri. @narendramodi Let Tenkasi transform like Kasi (Varanasi). Man on a Mission Shri. @annamalai_k,2023-12-25 10:00:00,307,5,2024,Let’s deliver Tenkasi Lok Sabha seat to strengthen the hands of Honourable Shri. Let Tenkasi transform like Kasi (Varanasi). Man on a Mission Shri.,positive,0.5904743671417236
"""NDA alliance will break before the Lok Sabha) elections..."" . - DK Shivkumar 🔥",2023-12-25 08:26:00,698,84,2024,"""NDA alliance will break before the Lok Sabha) elections..."" . - DK Shivkumar 🔥",neutral,0.806120753288269
"I am not unhappy or upset with anyone, my party stands with the INDIA alliance and we will fight 2024 Loksabha together. We strongly believe our alliance will stay & everyone will help defeating BJP. -Nitish Kumar refuses all the rumors of jumping out 👍",2023-12-25 08:47:00,882,49,2024,"I am not unhappy or upset with anyone, my party stands with the INDIA alliance and we will fight 2024 Loksabha together. We strongly believe our alliance will stay & everyone will help defeating BJP. -Nitish Kumar refuses all the rumors of jumping out 👍",positive,0.7782663702964783
No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar 📹 credits - Zee business,2023-12-25 09:14:00,4950,43,2024,No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar 📹 credits - Zee business,positive,0.7507479190826416
"The BJP MP from Mysuru, Pratap Simha, says that his voters will decide whether he is a patriot or not when the Lok Sabha polls will be held. But the question he’s running away from is very simple. Why and how did he facilitate entry of two youth who caused a huge security breach in the Lok Sabha on December 13th? Isn’t this a serious matter that needs investigation and explanation? These youth have after all been booked under UAPA. Mr. Simha and the BJP are diverting attention from this main issue. The signal being given to the nation by the Prime Minister and the Home Minister is that BJP and anyone associated with the party is above all accountability.",2023-12-24 16:44:00,2755,209,2024,"The BJP MP from Mysuru, Pratap Simha, says that his voters will decide whether he is a patriot or not when the Lok Sabha polls will be held. But the question he’s running away from is very simple. Why and how did he facilitate entry of two youth who caused a huge security breach in the Lok Sabha on December 13th? Isn’t this a serious matter that needs investigation and explanation? These youth have after all been booked under UAPA. Mr. Simha and the BJP are diverting attention from this main issue. The signal being given to the nation by the Prime Minister and the Home Minister is that BJP and anyone associated with the party is above all accountability.",neutral,0.531490683555603
"#WATCH | Delhi: Prime Minister Narendra Modi, Lok Sabha Speaker Om Birla, Rajya Sabha Deputy Chairman Harivansh, Defence Minister Rajnath Singh, BJP national president JP Nadda and other leaders pay tribute to Pandit Madan Mohan Malaviya at Central Hall in the Parliament, on his birth anniversary.",2023-12-25 05:46:00,2299,13,2024,"WATCH | Delhi: Prime Minister Narendra Modi, Lok Sabha Speaker Om Birla, Rajya Sabha Deputy Chairman Harivansh, Defence Minister Rajnath Singh, BJP national president JP Nadda and other leaders pay tribute to Pandit Madan Mohan Malaviya at Central Hall in the Parliament, on his birth anniversary.",neutral,0.7424097061157227
"Thank you very much dear #RajeevGowda Sir for visiting us at our home today. Christmas this year has become very special. @rajeevgowda will be our new Lok Sabha MP from Bangalore North constituency (I live here). Sir is the Vice Chairman, Planning Commission, Govt of Karnataka. Professor is also the National Spokesperson and Chairman, AICC Research Department, Ex MP- Rajyasabha, Ex Director RBI and Ex Professor IIM Bangalore.",2023-12-25 08:05:00,324,54,2024,"Thank you very much dear RajeevGowda Sir for visiting us at our home today. Christmas this year has become very special. will be our new Lok Sabha MP from Bangalore North constituency (I live here). Sir is the Vice Chairman, Planning Commission, Govt of Karnataka. Professor is also the National Spokesperson and Chairman, AICC Research Department, Ex MP- Rajyasabha, Ex Director RBI and Ex Professor IIM Bangalore.",positive,0.9741584658622742
"VIDEO | “When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP @KapilSibal in response to a media query on suspension of MPs from Lok Sabha and Rajya Sabha.",2023-12-25 06:39:00,1089,9,2024,"VIDEO | “When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP in response to a media query on suspension of MPs from Lok Sabha and Rajya Sabha.",neutral,0.882211446762085
"VIDEO | “If you don’t want opposition at all there, which I think is the intent of this government, you might as well suspend everybody. You might as well suspend me for talking to the press,” says Rajya Sabha MP @KapilSibal on suspension of MPs from Lok Sabha and Rajya Sabha.",2023-12-25 07:10:00,270,6,2024,"VIDEO | “If you don’t want opposition at all there, which I think is the intent of this government, you might as well suspend everybody. You might as well suspend me for talking to the press,” says Rajya Sabha MP on suspension of MPs from Lok Sabha and Rajya Sabha.",negative,0.6347521543502808
When your effort to make upcoming Lok Sabha elections a Hindu-Muslim issue fails ! Must watch,2023-12-25 04:48:00,2142,23,2024,When your effort to make upcoming Lok Sabha elections a Hindu-Muslim issue fails ! Must watch,negative,0.7489020228385925
Actor Nana Patekar's prediction on upcoming Lok Sabha Elections is a shocker for those who are predicting 300 seats for BJP.,2023-12-25 12:04:00,115,4,2024,Actor Nana Patekar's prediction on upcoming Lok Sabha Elections is a shocker for those who are predicting 300 seats for BJP.,neutral,0.6924377083778381
Lol..no difficulty in Karnataka..Maharashtra is also smooth sailing..,2023-12-25 12:59:00,0,0,2024,Lol..no difficulty in Karnataka..Maharashtra is also smooth sailing..,positive,0.5089468955993652
"Today, 5.00 pm Warm Room programme on @publictvnews was too good. Congrats to anchor Mr Arun Badiger. With Loksabha elections around, cover lot of issues like this, but not the full day on Carona as mutated virus is getting weaker- though spreads but does not cause severe disease",2023-12-25 12:59:00,0,0,2024,"Today, 5.00 pm Warm Room programme on was too good. Congrats to anchor Mr Arun Badiger. With Loksabha elections around, cover lot of issues like this, but not the full day on Carona as mutated virus is getting weaker- though spreads but does not cause severe disease",positive,0.903754711151123
NDA alliance will break before Lok Sabha elections - Deputy Chief Minister Dk Shivakumar,2023-12-25 08:35:00,850,10,2024,NDA alliance will break before Lok Sabha elections - Deputy Chief Minister Dk Shivakumar,neutral,0.8487747311592102
"Below is the Times now ETG survey conducted before the announcement of the alliance if all parties contest individually. Times group is YCP-favored but a big takeaway from this JSP has doubled its vote share in Lok Sabha. If you interpolate to assembly, it will be 12% - 14%.",2023-12-25 12:23:00,29,2,2024,"Below is the Times now ETG survey conducted before the announcement of the alliance if all parties contest individually. Times group is YCP-favored but a big takeaway from this JSP has doubled its vote share in Lok Sabha. If you interpolate to assembly, it will be 12% - 14%.",neutral,0.6243127584457397
Nana Patekar : “There is no alternative to the BJP in 2024 Lok Sabha elections. They will come back to power with 350 seats.”,2023-12-25 09:28:00,2675,14,2024,Nana Patekar : “There is no alternative to the BJP in 2024 Lok Sabha elections. They will come back to power with 350 seats.”,neutral,0.7911503314971924
"VIDEO | Lok Sabha Speaker Om Birla, Union Minister Rajnath Singh and yoga guru Baba Ramdev attended Divine Spiritual Festival in Haridwar.",2023-12-25 12:58:00,10,0,2024,"VIDEO | Lok Sabha Speaker Om Birla, Union Minister Rajnath Singh and yoga guru Baba Ramdev attended Divine Spiritual Festival in Haridwar.",neutral,0.8378481864929199
"#NayaJammuKashmir Many people living in Kashmir for decades could cast their vote in Lok Sabha polls, but not in J&K’s assembly & local polls. They are the ones who came to India post Partition. Should we have allowed such injustice to exist? via NaMo App",2023-12-25 12:58:00,0,0,2024,"NayaJammuKashmir Many people living in Kashmir for decades could cast their vote in Lok Sabha polls, but not in J&K’s assembly & local polls. They are the ones who came to India post Partition. Should we have allowed such injustice to exist? via NaMo App",neutral,0.5286697149276733
लोकसभेच्या 132 जागा असलेल्या दक्षिण भारतात भाजप मुसंडी मारणार? एबीपी-सी व्होटर सर्वेचा अंदाज काय? https://marathi.abplive.com/news/india/abp-c-voter-survey-lok-sabha-election-2024-south-india-132-lok-sabha-seats-how-much-bjp-nda-will-won-seats-abpp-1240919 #ABPCVoter #LokSabhaElection #LoksabhaElection2024 #Elections2024 #LokSabha #INDIAAlliance #NDA #SouthIndia,2023-12-25 12:58:00,0,0,2024,लोकसभेच्या 132 जागा असलेल्या दक्षिण भारतात भाजप मुसंडी मारणार? एबीपी-सी व्होटर सर्वेचा अंदाज काय? ABPCVoter LokSabhaElection LoksabhaElection2024 Elections2024 LokSabha INDIAAlliance NDA SouthIndia,neutral,0.8254250884056091
"VIDEO | ""In democracy, it is the people who decide the government and the opposition. However, we cannot imagine a Parliament where there is no opposition,"" says RJD MP @manojkjhadu on suspension of MPs from Lok Sabha and Rajya Sabha.",2023-12-25 07:22:00,163,7,2024,"VIDEO | ""In democracy, it is the people who decide the government and the opposition. However, we cannot imagine a Parliament where there is no opposition,"" says RJD MP on suspension of MPs from Lok Sabha and Rajya Sabha.",neutral,0.7770562767982483
Before Lok sabha elections,2023-12-25 12:58:00,0,0,2024,Before Lok sabha elections,neutral,0.882786750793457
Lok sabha INDIA - 28 NDA - 20 Assembly elections MVA Aillance wins 2024 !,2023-12-25 09:02:00,100,2,2024,Lok sabha INDIA - 28 NDA - 20 Assembly elections MVA Aillance wins 2024 !,neutral,0.5688662528991699
"Not INDIA, but NDA will break down before 2024 Loksabha. -DK Shivakumar hits back at ANI journalist 🔥",2023-12-25 09:50:00,1279,39,2024,"Not INDIA, but NDA will break down before 2024 Loksabha. -DK Shivakumar hits back at ANI journalist 🔥",neutral,0.6167928576469421
"Deepender Hooda has started the preparations for both Loksabha & Vidhansabha 2024 Haryana elections. Keep an eye on him, one of the finest leaders who will be around the center stage for a long time to come.🔥 Today he pulled lakhs of people to give tributes to 750 farmers who lost their lives because of Farm laws by BJP.",2023-12-24 18:21:00,2088,28,2024,"Deepender Hooda has started the preparations for both Loksabha & Vidhansabha 2024 Haryana elections. Keep an eye on him, one of the finest leaders who will be around the center stage for a long time to come.🔥 Today he pulled lakhs of people to give tributes to 750 farmers who lost their lives because of Farm laws by BJP.",positive,0.8980393409729004
"In Assam Senior Cong leaders are only wanting to contest Lok Sabha Seats where there is significant minority voters. In constituencies where majority Santani voters are there , they are afraid to contest.",2023-12-25 08:25:00,86,8,2024,"In Assam Senior Cong leaders are only wanting to contest Lok Sabha Seats where there is significant minority voters. In constituencies where majority Santani voters are there , they are afraid to contest.",neutral,0.5154317617416382
Contentious CEC Bill passed in Lok Sabha. @nalinisharma_ with more details. #News #LokSabha @nabilajamal_,2023-12-21 08:59:00,7,1,2024,Contentious CEC Bill passed in Lok Sabha. with more details. News LokSabha,positive,0.6311413049697876
"Bihar Loksabha 2024 Opinion Poll (C-Voter) INDIA 23 (43%) NDA 16 (39%) OTH 01 (18%) BJP is getting a dent of 4 seats considering their alliance holds their Loksabha. Maharashtra, WB, Bihar, Telangana all states showing trends of BJP losing few seats. It is all up to the campaign & seat sharing of INDIA in these states to shape up the 2024.",2023-12-24 14:37:00,1279,165,2024,"Bihar Loksabha 2024 Opinion Poll (C-Voter) INDIA 23 (43%) NDA 16 (39%) OTH 01 (18%) BJP is getting a dent of 4 seats considering their alliance holds their Loksabha. Maharashtra, WB, Bihar, Telangana all states showing trends of BJP losing few seats. It is all up to the campaign & seat sharing of INDIA in these states to shape up the 2024.",neutral,0.8121766448020935
