geoName,BJP,INC,AAP,TMC,DMK,AIADMK,TDP,BJD,SP,RJD,Shiv Sena,NCP,TRS
Andaman and Nicobar Islands,71,0,29,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,49,21,18,6,6,0,60,0,21,3,1,1,14
Arunachal Pradesh,61,11,28,0,0,0,0,0,21,0,0,0,0
Assam,50,6,42,2,0,0,1,1,23,1,1,1,1
Bihar,30,2,67,1,0,0,0,0,36,15,1,1,0
Chandigarh,32,11,56,1,0,1,1,0,33,2,2,4,1
Chhattisgarh,48,7,42,3,0,0,1,2,30,1,1,3,2
Dadra and Nagar Haveli,71,0,29,0,0,0,0,0,23,0,0,0,0
Daman and Diu,56,16,28,0,0,0,0,0,23,0,0,0,0
Delhi,51,9,38,2,0,0,0,1,19,3,1,1,1
Goa,63,12,22,2,1,1,1,1,22,0,3,2,3
Gujarat,44,14,41,1,0,0,1,1,39,1,1,2,2
Haryana,45,14,40,1,0,0,1,1,23,2,1,1,1
Himachal Pradesh,33,6,60,1,0,0,1,1,30,2,1,4,2
Jammu and Kashmir,36,5,59,0,0,1,1,0,32,1,2,1,3
Jharkhand,52,4,41,3,0,0,0,1,35,5,1,0,1
Karnataka,51,25,19,3,2,1,6,1,30,1,2,1,2
Kerala,64,19,13,1,3,1,1,0,27,1,1,2,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,30,4,65,1,0,0,1,0,30,1,1,1,16
Maharashtra,42,16,37,4,1,1,1,0,32,1,9,8,1
Manipur,51,10,38,1,0,0,3,0,24,0,1,0,0
Meghalaya,63,12,21,4,0,0,0,0,28,0,0,0,0
Mizoram,68,17,15,0,0,0,0,0,32,0,0,0,0
Nagaland,72,10,18,0,0,0,0,0,22,0,0,0,0
Odisha,58,6,33,2,1,0,0,32,18,1,1,1,1
Puducherry,43,22,9,2,24,11,3,0,35,0,0,0,0
Punjab,37,10,52,1,0,0,1,0,31,2,2,4,1
Rajasthan,34,5,60,1,0,0,1,0,25,1,1,2,1
Sikkim,53,18,24,5,0,0,0,0,29,0,0,0,0
Tamil Nadu,36,21,10,1,32,13,3,0,38,1,1,1,4
Telangana,41,25,29,3,2,0,34,0,27,1,1,1,37
Tripura,66,7,18,9,0,0,12,0,22,0,0,2,0
Uttar Pradesh,41,5,53,1,0,0,0,0,28,1,1,1,1
Uttarakhand,52,6,40,2,0,0,1,0,22,1,0,3,1
West Bengal,50,5,31,14,0,0,0,1,22,1,1,1,0
