geoName,BJP,INC,AAP,TMC,DMK,AIADMK,TDP,BJD,SP,RJD,Shiv Sena,NCP,BRS
Andaman and Nicobar Islands,39,8,47,3,3,0,0,0,27,0,5,0,0
Andhra Pradesh,57,22,15,3,3,0,57,0,23,2,0,2,8
Arunachal Pradesh,47,9,42,1,1,0,2,0,30,1,0,18,0
Assam,54,9,33,3,1,0,2,0,40,2,1,2,1
Bihar,36,4,59,1,0,0,1,0,48,29,0,1,0
Chandigarh,45,15,37,2,1,0,2,0,27,2,1,3,3
Chhattisgarh,36,6,56,2,0,0,2,1,49,2,1,4,2
Dadra and Nagar Haveli,53,7,40,0,0,0,0,0,32,0,0,0,0
Daman and Diu,48,10,42,0,0,0,0,0,33,0,0,0,0
Delhi,49,11,38,1,1,0,2,0,24,4,1,2,1
Goa,55,14,29,1,1,0,3,0,36,2,4,4,1
Gujarat,49,18,31,1,1,0,2,0,45,3,1,2,2
Haryana,47,12,40,1,0,0,2,0,27,2,1,2,1
Himachal Pradesh,39,7,54,0,0,0,1,0,27,1,0,3,2
Jammu and Kashmir,37,7,56,0,0,0,1,0,43,2,1,3,1
Jharkhand,43,4,51,2,0,0,1,0,42,8,0,1,1
Karnataka,57,25,13,2,3,0,7,1,30,1,1,2,3
Kerala,59,27,9,2,3,0,3,0,38,1,0,3,3
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,34,6,59,1,0,0,1,0,45,2,1,2,1
Maharashtra,47,20,28,4,1,0,2,0,45,1,10,7,1
Manipur,62,18,18,1,1,0,1,1,40,2,0,2,0
Meghalaya,55,14,24,5,2,0,2,0,39,2,0,4,2
Mizoram,49,27,24,0,0,0,0,0,61,0,0,0,0
Nagaland,58,20,19,1,2,0,2,0,36,2,2,3,0
Odisha,69,8,21,1,1,0,1,27,25,1,1,1,1
Puducherry,49,21,6,1,23,6,5,0,34,0,2,4,4
Punjab,36,19,44,1,0,0,3,0,34,2,1,4,11
Rajasthan,36,7,56,1,0,0,2,0,35,2,1,3,1
Sikkim,58,10,29,3,0,0,0,0,37,0,0,7,0
Tamil Nadu,46,21,6,1,26,6,3,0,33,1,1,2,2
Telangana,52,29,16,2,1,0,23,0,29,1,0,2,17
Tripura,52,11,26,10,1,0,3,1,41,2,2,4,1
Uttar Pradesh,46,7,46,1,0,0,1,0,33,3,0,2,1
Uttarakhand,38,7,54,1,0,0,2,0,30,2,1,4,1
West Bengal,53,10,16,20,1,0,1,1,40,2,1,1,2
